itemlink_URL,itemlink,Precio,itemparking,itemdetail,itemdetail2
https://www.idealista.com/inmueble/104235344/,"
Piso en Birloque, Someso - Matogrande, a Coruña
",199.000€,,4 hab.,200 m²
https://www.idealista.com/inmueble/106390887/,"
Piso en calle Rey Abdullah, Juan Flórez-San Pablo, a Coruña
",300.000€,,2 hab.,60 m²
https://www.idealista.com/inmueble/99965805/,"
Piso en a el Burgo, 55, Eirís, a Coruña
",420.000€,Garaje incluido,3 hab.,121 m²
https://www.idealista.com/inmueble/106071525/,"
Piso en calle Merced, s/n, Los Castros - Castrillón, a Coruña
",290.000€,Garaje incluido,2 hab.,103 m²
https://www.idealista.com/inmueble/106150844/,"
Piso en calle Orzán, s/n, Monte Alto - Zalaeta - Atocha, a Coruña
",225.000€,,1 hab.,56 m²
https://www.idealista.com/inmueble/106150877/,"
Piso en Rúa Herrador, 1, Monte Alto - Zalaeta - Atocha, a Coruña
",240.000€,,1 hab.,74 m²
https://www.idealista.com/inmueble/105105856/,"
Piso en calle Riego de Agua, Ciudad Vieja - Centro, a Coruña
",603.000€,,3 hab.,100 m²
https://www.idealista.com/inmueble/106296618/,"
Piso en calle Rafael Dieste, Los Castros - Castrillón, a Coruña
",330.000€,Garaje incluido,3 hab.,116 m²
https://www.idealista.com/inmueble/106344007/,"
Piso en calle Bergondo, Los Castros - Castrillón, a Coruña
",150.000€,,3 hab.,90 m²
https://www.idealista.com/inmueble/105821620/,"
Piso en calle Juana de Vega, Ensanche, a Coruña
",500.000€,,8 hab.,252 m²
https://www.idealista.com/inmueble/104808406/,"
Piso en calle Barcelona, Agra del Orzán - Ventorrillo, a Coruña
",101.200€,,3 hab.,74 m²
https://www.idealista.com/inmueble/99896038/,"
Piso en Travesía Principe, 4, Ciudad Vieja - Centro, a Coruña
",850.000€,Garaje incluido,3 hab.,202 m²
https://www.idealista.com/inmueble/105844721/,"
Piso en Ciudad Vieja - Centro, a Coruña
",605.000€,,2 hab.,139 m²
https://www.idealista.com/inmueble/106124228/,"
Piso en Ciudad de Lugo, Juan Flórez-San Pablo, a Coruña
",230.000€,,2 hab.,68 m²
https://www.idealista.com/inmueble/99474195/,"
Piso en Riazor - Los Rosales, a Coruña
",222.000€,,2 hab.,83 m²
https://www.idealista.com/inmueble/102835862/,"
Piso en Ensanche, a Coruña
",595.000€,Garaje incluido,4 hab.,203 m²
https://www.idealista.com/inmueble/105845471/,"
Piso en calle Miramar Castrillón, Los Castros - Castrillón, a Coruña
",138.000€,,4 hab.,110 m²
https://www.idealista.com/inmueble/105368019/,"
Dúplex en Falperra-Santa Lucía, a Coruña
",350.000€,,2 hab.,171 m²
https://www.idealista.com/inmueble/106335828/,"
Piso en Agra del Orzán - Ventorrillo, a Coruña
",120.000€,,2 hab.,70 m²
https://www.idealista.com/inmueble/106340824/,"
Ático en avenida Linares Rivas, Ensanche, a Coruña
",1.500.000€,Garaje incluido,5 hab.,300 m²
https://www.idealista.com/inmueble/105643570/,"
Piso en calle María Luisa Durán Marquina, Riazor - Los Rosales, a Coruña
",319.000€,,2 hab.,78 m²
https://www.idealista.com/inmueble/102557722/,"
Piso en avenida Finisterre, Agra del Orzán - Ventorrillo, a Coruña
",315.000€,Garaje incluido,3 hab.,99 m²
https://www.idealista.com/inmueble/106246224/,"
Piso en Ciudad Vieja - Centro, a Coruña
",460.000€,,3 hab.,112 m²
https://www.idealista.com/inmueble/105736183/,"
Piso en plaza Orense, s/n, Ensanche, a Coruña
",650.000€,Garaje opc. 30.000 €,4 hab.,177 m²
https://www.idealista.com/inmueble/106250264/,"
Chalet adosado en calle Praga, Elviña - a Zapateira, a Coruña
",358.000€,Garaje incluido,4 hab.,213 m²
https://www.idealista.com/inmueble/106108953/,"
Piso en calle Simón Bolívar, Riazor - Los Rosales, a Coruña
",350.000€,Garaje incluido,3 hab.,125 m²
https://www.idealista.com/inmueble/104823380/,"
Piso en calle Andrés Antelo, Monte Alto - Zalaeta - Atocha, a Coruña
",219.000€,,2 hab.,70 m²
https://www.idealista.com/inmueble/105662325/,"
Piso en Juan Flórez-San Pablo, a Coruña
",549.000€,Garaje incluido,3 hab.,148 m²
https://www.idealista.com/inmueble/106108688/,"
Piso en Casanova de Eirís, Los Castros - Castrillón, a Coruña
",335.000€,Garaje incluido,3 hab.,90 m²
https://www.idealista.com/inmueble/104198501/,"
Piso en calle José Pascual López-Cortón, Someso - Matogrande, a Coruña
",280.000€,Garaje incluido,3 hab.,91 m²
https://www.idealista.com/inmueble/104156930/,"
Piso en avenida Calvo Sotelo, Juan Flórez-San Pablo, a Coruña
",585.000€,,4 hab.,172 m²
https://www.idealista.com/inmueble/104166852/,"
Piso en avenida Calvo Sotelo, Juan Flórez-San Pablo, a Coruña
",585.000€,,4 hab.,172 m²
https://www.idealista.com/inmueble/104742327/,"
Piso en plaza Pontevedra, Ensanche, a Coruña
",490.000€,,5 hab.,137 m²
https://www.idealista.com/inmueble/106389896/,"
Piso en calle Emilio González López, 100, Riazor - Los Rosales, a Coruña
",265.000€,Garaje incluido,2 hab.,72 m²
https://www.idealista.com/inmueble/106078275/,"
Piso en ronda 34-36 & C/ Julio Rodríguez Yordi, 16, Riazor - Los Rosales, a Coruña
",350.000€,Garaje incluido,2 hab.,108 m²
https://www.idealista.com/inmueble/106067819/,"
Piso en ronda 34-36 & C/ Julio Rodríguez Yordi, 16, Riazor - Los Rosales, a Coruña
",338.000€,Garaje incluido,2 hab.,103 m²
https://www.idealista.com/inmueble/106067781/,"
Estudio en ronda 34-36 & C/ Julio Rodríguez Yordi, 16, Riazor - Los Rosales, a Coruña
",225.000€,Garaje incluido,87 m²,Bajo exterior con ascensor
https://www.idealista.com/inmueble/101231210/,"
Piso en ronda de Outeiro, 258, Agra del Orzán - Ventorrillo, a Coruña
",219.000€,,4 hab.,115 m²
https://www.idealista.com/inmueble/106349409/,"
Piso en calle Suevia, Monte Alto - Zalaeta - Atocha, a Coruña
",247.000€,,3 hab.,100 m²
https://www.idealista.com/inmueble/103865650/,"
Piso en ronda de Outeiro, Vioño, a Coruña
",225.000€,,3 hab.,89 m²
https://www.idealista.com/inmueble/105848811/,"
Piso en avenida de Oza, Cuatro Caminos - Plaza de la Cubela, a Coruña
",230.000€,,2 hab.,94 m²
https://www.idealista.com/inmueble/100912573/,"
Piso en avenida Ejército, Cuatro Caminos - Plaza de la Cubela, a Coruña
",300.000€,Garaje incluido,4 hab.,129 m²
https://www.idealista.com/inmueble/106355774/,"
Piso en calle Emilio González López, 92, Riazor - Los Rosales, a Coruña
",168.000€,Garaje incluido,1 hab.,47 m²
